component_id,lot_id,value_0h,value_24h,value_96h,value_168h,defect_type,is_defect
COMP_00385,Lot_C,10.762,11.024,11.436,11.788,Healthy,0
COMP_00386,Lot_C,9.695,9.813,10.394,10.835,Healthy,0
COMP_00387,Lot_A,10.091,10.523,10.832,11.148,Healthy,0
COMP_00388,Lot_A,10.509,10.756,11.235,11.433,Healthy,0
COMP_00389,Lot_C,10.135,10.54,11.144,11.433,Healthy,0
COMP_00390,Lot_C,9.643,9.803,10.151,10.31,Healthy,0
COMP_00391,Lot_C,9.924,10.294,10.787,11.274,Healthy,0
COMP_00392,Lot_B,14.181,14.387,14.746,15.024,Healthy,0
COMP_00393,Lot_B,11.111,11.364,11.465,11.874,Healthy,0
COMP_00394,Lot_C,10.065,10.352,10.929,11.299,Healthy,0
COMP_00395,Lot_A,9.805,10.105,10.464,10.79,Healthy,0
COMP_00396,Lot_C,7.965,8.143,8.547,8.952,Healthy,0
COMP_00397,Lot_C,9.325,9.475,9.698,9.989,Healthy,0
COMP_00398,Lot_B,15.146,15.418,15.98,16.24,Healthy,0
COMP_00399,Lot_C,8.584,8.736,9.175,9.325,Healthy,0
COMP_00400,Lot_C,9.094,10.177,17.695,30.386,Latent Defect,1
COMP_00401,Lot_A,8.732,8.985,9.529,9.768,Healthy,0
COMP_00402,Lot_C,10.684,11.056,11.538,11.827,Healthy,0
COMP_00403,Lot_B,13.16,13.357,13.708,14.126,Healthy,0
COMP_00404,Lot_C,9.875,10.221,10.618,10.934,Healthy,0
COMP_00405,Lot_A,8.047,8.207,8.755,9.323,Healthy,0
COMP_00406,Lot_C,9.656,9.852,10.212,10.494,Healthy,0
COMP_00407,Lot_B,14.815,15.007,15.387,15.613,Healthy,0
COMP_00408,Lot_A,8.735,8.98,9.293,9.554,Healthy,0
COMP_00409,Lot_C,11.38,11.632,12.094,12.455,Healthy,0
COMP_00410,Lot_A,9.616,9.782,10.185,10.518,Healthy,0
COMP_00411,Lot_A,7.123,7.3,7.875,8.301,Healthy,0
COMP_00412,Lot_C,10.843,11.046,11.44,11.612,Healthy,0
COMP_00413,Lot_C,10.839,11.176,11.757,12.267,Healthy,0
COMP_00414,Lot_B,13.464,13.839,14.265,14.438,Healthy,0
COMP_00415,Lot_B,13.947,14.052,14.523,14.968,Healthy,0
COMP_00416,Lot_B,13.357,13.789,14.003,14.345,Healthy,0
COMP_00417,Lot_A,8.514,8.656,8.968,9.233,Healthy,0
COMP_00418,Lot_A,7.62,7.862,8.239,8.621,Healthy,0
COMP_00419,Lot_B,13.714,14.011,14.412,14.79,Healthy,0
COMP_00420,Lot_C,10.932,12.221,24.509,44.965,Latent Defect,1
COMP_00421,Lot_C,11.547,11.597,12.059,12.376,Healthy,0
COMP_00422,Lot_C,9.888,10.073,10.571,10.74,Healthy,0
COMP_00423,Lot_A,8.823,9.011,9.401,9.795,Healthy,0
COMP_00424,Lot_B,13.087,13.421,13.755,14.097,Healthy,0
COMP_00425,Lot_A,9.211,9.49,9.991,10.452,Healthy,0
COMP_00426,Lot_B,12.553,12.754,13.273,13.608,Healthy,0
COMP_00427,Lot_B,14.234,14.514,14.889,15.273,Healthy,0
COMP_00428,Lot_C,9.188,9.513,9.796,10.268,Healthy,0
COMP_00429,Lot_B,13.353,13.59,14.131,14.533,Healthy,0
COMP_00430,Lot_A,9.564,9.92,10.412,10.675,Healthy,0
COMP_00431,Lot_A,8.067,8.311,8.891,9.195,Healthy,0
COMP_00432,Lot_C,9.664,10.062,10.5,10.786,Healthy,0
COMP_00433,Lot_B,13.854,14.1,14.383,14.837,Healthy,0
COMP_00434,Lot_A,7.902,8.156,8.598,8.971,Healthy,0
COMP_00435,Lot_A,6.747,6.97,7.555,8.032,Healthy,0
COMP_00436,Lot_C,9.108,9.431,9.79,10.103,Healthy,0
COMP_00437,Lot_A,8.242,8.501,9.071,9.448,Healthy,0
COMP_00438,Lot_C,9.886,10.214,10.568,10.91,Healthy,0
COMP_00439,Lot_C,10.896,11.189,11.583,11.781,Healthy,0
COMP_00440,Lot_A,8.749,9.633,18.814,39.762,Latent Defect,1
COMP_00441,Lot_A,8.977,9.066,9.54,9.858,Healthy,0
COMP_00442,Lot_C,8.854,10.121,18.883,35.669,Latent Defect,1
COMP_00443,Lot_B,13.136,13.336,13.798,14.089,Healthy,0
COMP_00444,Lot_B,12.408,12.737,13.318,13.498,Healthy,0
COMP_00445,Lot_C,10.672,11.034,11.671,12.073,Healthy,0
COMP_00446,Lot_C,9.048,9.349,9.694,10.01,Healthy,0
COMP_00447,Lot_C,10.345,10.53,10.843,11.239,Healthy,0
COMP_00448,Lot_C,11.681,12.03,12.565,13.013,Healthy,0
COMP_00449,Lot_B,13.701,14.991,25.839,40.418,Latent Defect,1
COMP_00450,Lot_A,8.66,8.903,9.363,9.666,Healthy,0
COMP_00451,Lot_C,10.468,10.653,11.039,11.324,Healthy,0
COMP_00452,Lot_B,13.95,14.199,14.594,14.907,Healthy,0
COMP_00453,Lot_B,13.004,13.384,13.686,14.103,Healthy,0
COMP_00454,Lot_C,10.425,10.604,11.23,11.634,Healthy,0
COMP_00455,Lot_A,8.094,8.195,8.673,9.018,Healthy,0
COMP_00456,Lot_B,11.866,12.033,12.587,12.741,Healthy,0
COMP_00457,Lot_A,8.751,8.986,9.496,9.817,Healthy,0
COMP_00458,Lot_B,13.323,13.513,13.957,14.356,Healthy,0
COMP_00459,Lot_A,8.621,8.901,9.24,9.531,Healthy,0
COMP_00460,Lot_A,8.041,8.269,8.882,9.197,Healthy,0
COMP_00461,Lot_A,7.585,7.878,8.49,8.714,Healthy,0
COMP_00462,Lot_B,15.17,15.453,16.027,16.524,Healthy,0
COMP_00463,Lot_C,10.875,11.117,11.713,12.088,Healthy,0
COMP_00464,Lot_B,14.2,14.546,14.865,15.294,Healthy,0
COMP_00465,Lot_C,9.836,10.097,10.563,10.921,Healthy,0
COMP_00466,Lot_B,14.676,14.817,15.06,15.217,Healthy,0
COMP_00467,Lot_A,9.355,9.543,10.009,10.348,Healthy,0
COMP_00468,Lot_C,9.202,10.573,19.881,37.287,Latent Defect,1
COMP_00469,Lot_A,8.686,8.994,9.329,9.766,Healthy,0
COMP_00470,Lot_C,11.305,11.441,11.924,12.244,Healthy,0
COMP_00471,Lot_A,9.059,9.212,9.858,10.047,Healthy,0
COMP_00472,Lot_C,9.78,10.065,10.433,10.698,Healthy,0
COMP_00473,Lot_A,8.678,8.934,9.385,9.821,Healthy,0
COMP_00474,Lot_C,9.645,9.921,10.31,10.575,Healthy,0
COMP_00475,Lot_B,12.687,12.897,13.293,13.76,Healthy,0
COMP_00476,Lot_C,9.771,9.968,10.422,10.782,Healthy,0
COMP_00477,Lot_A,7.55,7.777,8.186,8.519,Healthy,0
COMP_00478,Lot_B,13.798,14.059,14.656,15.005,Healthy,0
COMP_00479,Lot_C,11.598,11.812,12.169,12.574,Healthy,0
COMP_00480,Lot_B,14.5,14.64,15.067,15.355,Healthy,0
COMP_00481,Lot_B,13.157,13.408,14.019,14.359,Healthy,0
COMP_00482,Lot_B,14.512,14.737,15.298,15.671,Healthy,0
COMP_00483,Lot_B,14.903,15.035,15.345,15.878,Healthy,0
COMP_00484,Lot_B,12.193,12.39,12.735,13.2,Healthy,0
COMP_00485,Lot_B,11.621,11.873,12.291,12.745,Healthy,0
COMP_00486,Lot_C,9.493,9.776,10.085,10.663,Healthy,0
COMP_00487,Lot_A,8.308,8.559,9.208,9.499,Healthy,0
COMP_00488,Lot_A,9.834,10.952,21.459,38.027,Latent Defect,1
COMP_00489,Lot_C,8.78,9.063,9.59,9.808,Healthy,0
COMP_00490,Lot_C,9.724,10.07,10.592,10.902,Healthy,0
COMP_00491,Lot_B,12.343,12.749,13.025,13.369,Healthy,0
COMP_00492,Lot_B,11.389,11.744,12.193,12.561,Healthy,0
COMP_00493,Lot_A,10.715,10.918,11.577,11.888,Healthy,0
COMP_00494,Lot_A,8.313,10.041,19.299,33.863,Latent Defect,1
COMP_00495,Lot_B,13.31,13.546,14.04,14.377,Healthy,0
COMP_00496,Lot_B,15.437,15.732,16.053,16.415,Healthy,0
COMP_00497,Lot_B,12.12,12.351,12.691,13.252,Healthy,0
COMP_00498,Lot_A,7.947,8.252,8.663,8.897,Healthy,0
COMP_00499,Lot_C,10.178,10.46,10.977,11.065,Healthy,0
COMP_00500,Lot_C,8.889,9.215,9.554,9.925,Healthy,0
COMP_00501,Lot_B,11.616,11.925,12.486,12.91,Healthy,0
COMP_00502,Lot_B,14.136,14.511,14.82,15.091,Healthy,0
COMP_00503,Lot_A,9.218,9.558,9.928,10.203,Healthy,0
COMP_00504,Lot_C,9.413,9.535,9.832,10.057,Healthy,0
COMP_00505,Lot_B,12.676,12.948,13.45,13.749,Healthy,0
COMP_00506,Lot_A,8.113,8.373,8.643,9.089,Healthy,0
COMP_00507,Lot_C,11.157,11.357,11.759,12.233,Healthy,0
COMP_00508,Lot_C,9.889,10.186,10.625,11.131,Healthy,0
COMP_00509,Lot_C,10.441,10.735,11.253,11.547,Healthy,0
COMP_00510,Lot_C,9.583,9.895,10.36,10.592,Healthy,0
COMP_00511,Lot_B,15.06,15.389,15.843,16.166,Healthy,0
COMP_00512,Lot_B,13.219,13.51,13.716,14.277,Healthy,0
COMP_00513,Lot_C,9.289,9.539,9.993,10.543,Healthy,0
COMP_00514,Lot_C,9.921,10.298,10.797,11.05,Healthy,0
COMP_00515,Lot_A,8.608,8.848,9.168,9.554,Healthy,0
COMP_00516,Lot_A,8.518,8.812,9.285,9.57,Healthy,0
COMP_00517,Lot_B,13.845,14.045,14.123,14.486,Healthy,0
COMP_00518,Lot_C,9.501,25.648,70.642,146.864,Gross Failure,1
COMP_00519,Lot_C,9.851,10.035,10.555,10.868,Healthy,0
COMP_00520,Lot_A,8.813,9.011,9.491,9.759,Healthy,0
COMP_00521,Lot_B,14.303,14.505,15.035,15.258,Healthy,0
COMP_00522,Lot_B,13.859,14.032,14.513,14.966,Healthy,0
COMP_00523,Lot_C,9.82,9.988,10.497,10.763,Healthy,0
COMP_00524,Lot_C,9.636,9.907,10.521,10.873,Healthy,0
COMP_00525,Lot_C,10.021,10.33,10.786,11.199,Healthy,0
COMP_00526,Lot_B,14.186,14.41,14.467,14.735,Healthy,0
COMP_00527,Lot_B,14.33,14.577,14.986,15.453,Healthy,0
COMP_00528,Lot_A,8.419,9.2,16.442,35.489,Latent Defect,1
COMP_00529,Lot_A,8.446,8.813,9.175,9.494,Healthy,0
COMP_00530,Lot_C,9.204,9.412,9.635,9.947,Healthy,0
COMP_00531,Lot_C,9.953,11.126,23.85,46.434,Latent Defect,1
COMP_00532,Lot_C,9.324,10.115,19.467,38.408,Latent Defect,1
COMP_00533,Lot_C,9.226,9.411,10.051,10.375,Healthy,0
COMP_00534,Lot_B,13.728,13.904,14.347,14.664,Healthy,0
COMP_00535,Lot_C,9.392,9.735,10.018,10.398,Healthy,0
COMP_00536,Lot_C,9.68,9.964,10.373,10.809,Healthy,0
COMP_00537,Lot_C,9.154,9.497,9.943,10.161,Healthy,0
COMP_00538,Lot_A,9.044,9.278,9.523,9.907,Healthy,0
COMP_00539,Lot_B,14.107,14.46,14.864,15.229,Healthy,0
COMP_00540,Lot_A,8.54,8.91,9.262,9.566,Healthy,0
COMP_00541,Lot_C,9.249,9.383,9.863,10.373,Healthy,0
COMP_00542,Lot_B,12.782,12.961,13.434,13.842,Healthy,0
COMP_00543,Lot_A,8.375,8.737,9.09,9.411,Healthy,0
COMP_00544,Lot_B,13.326,13.607,14.063,14.285,Healthy,0
COMP_00545,Lot_B,15.572,15.803,16.266,16.678,Healthy,0
COMP_00546,Lot_B,12.3,12.554,12.923,13.315,Healthy,0
COMP_00547,Lot_A,8.279,8.551,8.875,9.142,Healthy,0
COMP_00548,Lot_B,11.498,11.692,11.833,12.152,Healthy,0
COMP_00549,Lot_B,12.412,13.643,23.209,44.352,Latent Defect,1
COMP_00550,Lot_C,12.335,12.676,13.072,13.372,Healthy,0
COMP_00551,Lot_B,13.956,14.071,14.483,14.809,Healthy,0
COMP_00552,Lot_C,10.526,10.825,11.185,11.494,Healthy,0
COMP_00553,Lot_B,13.49,13.676,14.27,14.681,Healthy,0
COMP_00554,Lot_B,13.189,13.47,13.864,14.151,Healthy,0
COMP_00555,Lot_C,9.618,9.908,10.382,10.69,Healthy,0
COMP_00556,Lot_B,13.825,14.061,14.427,14.803,Healthy,0
COMP_00557,Lot_A,7.69,8.552,18.044,34.401,Latent Defect,1
COMP_00558,Lot_A,8.297,8.469,9.064,9.348,Healthy,0
COMP_00559,Lot_C,9.611,9.891,10.176,10.381,Healthy,0
COMP_00560,Lot_B,13.419,13.633,13.975,14.386,Healthy,0
COMP_00561,Lot_C,9.269,9.497,9.84,10.22,Healthy,0
COMP_00562,Lot_A,9.566,9.667,10.13,10.566,Healthy,0
COMP_00563,Lot_A,8.163,8.322,8.823,9.273,Healthy,0
COMP_00564,Lot_A,9.212,10.486,20.132,35.885,Latent Defect,1
COMP_00565,Lot_B,13.952,14.267,14.58,14.966,Healthy,0
COMP_00566,Lot_B,13.718,14.039,14.48,14.744,Healthy,0
COMP_00567,Lot_B,12.448,12.617,13.061,13.386,Healthy,0
COMP_00568,Lot_B,15.36,15.681,16.247,16.645,Healthy,0
COMP_00569,Lot_C,9.669,9.897,10.325,10.694,Healthy,0
COMP_00570,Lot_A,8.811,9.061,9.477,9.767,Healthy,0
COMP_00571,Lot_B,11.468,11.821,12.535,13.005,Healthy,0
COMP_00572,Lot_C,8.867,9.18,9.753,10.062,Healthy,0
COMP_00573,Lot_B,13.538,13.751,14.385,14.771,Healthy,0
COMP_00574,Lot_B,11.991,12.295,12.872,13.242,Healthy,0
COMP_00575,Lot_C,10.431,10.676,10.99,11.325,Healthy,0
COMP_00576,Lot_C,10.471,10.71,11.257,11.567,Healthy,0
COMP_00577,Lot_A,8.239,8.555,9.032,9.341,Healthy,0
COMP_00578,Lot_C,10.93,11.125,11.488,11.555,Healthy,0
COMP_00579,Lot_B,12.391,12.745,12.947,13.201,Healthy,0
COMP_00580,Lot_A,8.851,8.922,9.31,9.774,Healthy,0
COMP_00581,Lot_B,15.247,15.521,15.859,16.113,Healthy,0
COMP_00582,Lot_C,10.13,10.403,11.076,11.523,Healthy,0
COMP_00583,Lot_B,13.093,13.316,14.127,14.54,Healthy,0
COMP_00584,Lot_A,7.965,8.197,8.542,8.651,Healthy,0
COMP_00585,Lot_B,13.344,13.737,13.991,14.346,Healthy,0
COMP_00586,Lot_A,7.934,8.226,8.656,8.87,Healthy,0
COMP_00587,Lot_A,7.715,7.899,8.51,8.989,Healthy,0
COMP_00588,Lot_A,8.251,8.599,9.028,9.346,Healthy,0
COMP_00589,Lot_A,8.546,8.818,9.202,9.554,Healthy,0
COMP_00590,Lot_A,9.13,9.39,9.845,10.245,Healthy,0
COMP_00591,Lot_A,9.033,9.278,9.671,10.04,Healthy,0
COMP_00592,Lot_B,11.247,12.405,18.197,32.008,Latent Defect,1
COMP_00593,Lot_A,7.039,7.373,7.825,8.048,Healthy,0
COMP_00594,Lot_A,8.893,9.222,9.733,10.064,Healthy,0
COMP_00595,Lot_C,10.209,10.531,10.925,11.278,Healthy,0
COMP_00596,Lot_B,12.717,12.838,13.398,13.954,Healthy,0
COMP_00597,Lot_B,12.039,12.366,12.715,13.078,Healthy,0
COMP_00598,Lot_A,9.706,9.915,10.363,10.533,Healthy,0
COMP_00599,Lot_A,7.969,8.066,8.568,9.001,Healthy,0
COMP_00600,Lot_A,8.323,8.596,9.006,9.431,Healthy,0
COMP_00601,Lot_A,8.604,8.695,9.258,9.569,Healthy,0
COMP_00602,Lot_A,7.484,7.699,7.92,8.145,Healthy,0
COMP_00603,Lot_A,8.614,8.882,9.369,9.72,Healthy,0
COMP_00604,Lot_A,7.946,8.191,8.589,8.776,Healthy,0
COMP_00605,Lot_A,7.882,8.203,8.844,9.259,Healthy,0
COMP_00606,Lot_B,14.698,14.955,15.614,16.169,Healthy,0
COMP_00607,Lot_A,7.113,7.381,7.841,8.149,Healthy,0
COMP_00608,Lot_B,13.541,13.794,14.156,14.503,Healthy,0
COMP_00609,Lot_B,14.325,14.59,15.115,15.437,Healthy,0
COMP_00610,Lot_B,13.497,13.651,14.041,14.38,Healthy,0
COMP_00611,Lot_A,7.479,7.663,8.15,8.513,Healthy,0
COMP_00612,Lot_C,10.726,10.928,11.385,11.667,Healthy,0
COMP_00613,Lot_B,13.777,14.122,14.63,15.086,Healthy,0
COMP_00614,Lot_A,8.526,8.84,9.299,9.547,Healthy,0
COMP_00615,Lot_C,10.222,10.392,11.123,11.44,Healthy,0
COMP_00616,Lot_C,10.581,10.83,11.132,11.292,Healthy,0
COMP_00617,Lot_A,9.099,10.609,19.007,32.865,Latent Defect,1
COMP_00618,Lot_A,8.24,8.415,8.787,9.198,Healthy,0
COMP_00619,Lot_C,9.955,10.138,10.659,11.076,Healthy,0
COMP_00620,Lot_C,9.697,9.958,10.47,10.863,Healthy,0
COMP_00621,Lot_A,8.532,8.897,9.417,9.722,Healthy,0
COMP_00622,Lot_A,8.144,8.35,8.875,9.163,Healthy,0
COMP_00623,Lot_B,12.533,12.867,13.34,13.81,Healthy,0
COMP_00624,Lot_B,13.878,14.034,14.471,14.92,Healthy,0
COMP_00625,Lot_B,11.656,11.939,12.384,12.559,Healthy,0
COMP_00626,Lot_B,13.132,13.315,13.625,13.975,Healthy,0
COMP_00627,Lot_B,10.876,11.072,11.828,12.243,Healthy,0
COMP_00628,Lot_C,9.207,9.569,9.9,10.195,Healthy,0
COMP_00629,Lot_A,7.581,7.851,8.466,8.716,Healthy,0
COMP_00630,Lot_A,6.852,8.27,20.101,33.113,Latent Defect,1
COMP_00631,Lot_C,10.414,10.682,11.038,11.248,Healthy,0
COMP_00632,Lot_C,10.893,12.128,22.01,38.456,Latent Defect,1
COMP_00633,Lot_B,12.118,12.172,12.594,13.088,Healthy,0
COMP_00634,Lot_B,12.021,12.149,12.651,13.063,Healthy,0
COMP_00635,Lot_A,8.031,8.253,8.735,9.069,Healthy,0
COMP_00636,Lot_B,14.1,14.545,14.79,15.263,Healthy,0
COMP_00637,Lot_B,13.116,13.477,14.014,14.37,Healthy,0
COMP_00638,Lot_A,9.108,9.326,9.684,10.115,Healthy,0
COMP_00639,Lot_A,7.825,8.126,8.58,8.697,Healthy,0
COMP_00640,Lot_B,12.368,12.645,13.046,13.142,Healthy,0
COMP_00641,Lot_A,9.557,9.82,10.323,10.626,Healthy,0
COMP_00642,Lot_A,8.925,9.322,9.684,10.2,Healthy,0
COMP_00643,Lot_A,8.819,21.211,67.273,130.406,Gross Failure,1
COMP_00644,Lot_A,9.041,9.27,9.624,9.991,Healthy,0
COMP_00645,Lot_A,9.765,9.99,10.437,10.933,Healthy,0
COMP_00646,Lot_C,9.73,10.021,10.576,10.906,Healthy,0
COMP_00647,Lot_B,13.341,13.644,14.046,14.477,Healthy,0
COMP_00648,Lot_B,12.398,12.594,12.861,13.161,Healthy,0
COMP_00649,Lot_C,9.266,9.484,10.007,10.185,Healthy,0
COMP_00650,Lot_B,10.828,11.018,11.523,11.902,Healthy,0
COMP_00651,Lot_A,7.888,9.322,17.834,36.99,Latent Defect,1
COMP_00652,Lot_B,12.601,13.627,22.22,42.055,Latent Defect,1
COMP_00653,Lot_B,13.397,13.725,14.218,14.407,Healthy,0
COMP_00654,Lot_C,11.903,13.178,23.45,40.508,Latent Defect,1
COMP_00655,Lot_B,14.224,14.387,14.91,15.052,Healthy,0
COMP_00656,Lot_A,9.042,9.205,9.689,10.174,Healthy,0
COMP_00657,Lot_A,9.158,10.603,21.784,38.474,Latent Defect,1
COMP_00658,Lot_B,13.658,13.77,14.138,14.627,Healthy,0
COMP_00659,Lot_B,12.576,12.677,13.369,13.775,Healthy,0
COMP_00660,Lot_B,13.841,14.012,14.497,14.872,Healthy,0
COMP_00661,Lot_B,12.096,12.333,12.603,12.918,Healthy,0
COMP_00662,Lot_C,10.876,11.067,11.746,11.952,Healthy,0
COMP_00663,Lot_B,12.714,12.911,13.34,13.827,Healthy,0
COMP_00664,Lot_A,7.712,7.926,8.455,8.814,Healthy,0
COMP_00665,Lot_A,8.64,8.813,9.254,9.717,Healthy,0
COMP_00666,Lot_A,7.212,7.407,7.639,8.042,Healthy,0
COMP_00667,Lot_A,9.48,9.716,10.045,10.297,Healthy,0
COMP_00668,Lot_A,8.262,8.488,9.048,9.331,Healthy,0
COMP_00669,Lot_A,8.848,9.074,9.434,9.751,Healthy,0
COMP_00670,Lot_A,8.769,9.092,9.512,9.742,Healthy,0
COMP_00671,Lot_A,9.3,9.478,9.959,10.307,Healthy,0
COMP_00672,Lot_C,9.857,10.068,10.593,10.585,Healthy,0
COMP_00673,Lot_A,9.409,9.586,10.085,10.471,Healthy,0
COMP_00674,Lot_B,14.402,14.668,15.019,15.208,Healthy,0
COMP_00675,Lot_B,12.616,13.425,21.982,39.25,Latent Defect,1
COMP_00676,Lot_C,9.379,9.632,10.054,10.371,Healthy,0
COMP_00677,Lot_A,6.561,17.677,55.89,122.324,Gross Failure,1
COMP_00678,Lot_B,10.977,11.162,11.741,12.019,Healthy,0
COMP_00679,Lot_C,9.9,10.265,10.672,10.971,Healthy,0
COMP_00680,Lot_C,9.859,10.257,10.76,11.112,Healthy,0
COMP_00681,Lot_C,9.528,10.836,21.325,36.642,Latent Defect,1
COMP_00682,Lot_A,9.049,10.219,19.756,35.546,Latent Defect,1
COMP_00683,Lot_A,8.18,8.348,8.668,9.056,Healthy,0
COMP_00684,Lot_B,12.609,12.755,13.467,13.704,Healthy,0
COMP_00685,Lot_C,10.983,11.115,11.62,11.944,Healthy,0
COMP_00686,Lot_B,12.308,12.574,13.031,13.3,Healthy,0
COMP_00687,Lot_B,12.056,22.335,58.863,108.832,Gross Failure,1
COMP_00688,Lot_A,8.503,8.801,9.276,9.553,Healthy,0
COMP_00689,Lot_C,10.818,11.035,11.325,11.647,Healthy,0
COMP_00690,Lot_A,8.969,9.165,9.721,9.994,Healthy,0
COMP_00691,Lot_A,7.993,8.159,8.691,9.036,Healthy,0
COMP_00692,Lot_B,11.922,12.141,12.222,12.65,Healthy,0
COMP_00693,Lot_B,12.812,12.87,13.145,13.453,Healthy,0
COMP_00694,Lot_A,7.449,7.762,8.262,8.648,Healthy,0
COMP_00695,Lot_A,6.417,6.624,6.991,7.245,Healthy,0
COMP_00696,Lot_B,12.543,12.703,13.179,13.606,Healthy,0
COMP_00697,Lot_A,9.044,9.283,9.973,10.437,Healthy,0
COMP_00698,Lot_B,12.888,13.1,13.71,14.161,Healthy,0
COMP_00699,Lot_A,7.372,7.709,8.14,8.404,Healthy,0
COMP_00700,Lot_B,10.823,11.051,11.5,12.009,Healthy,0
COMP_00701,Lot_B,14.053,14.256,14.753,15.186,Healthy,0
COMP_00702,Lot_A,8.569,8.772,9.158,9.546,Healthy,0
COMP_00703,Lot_A,8.83,9.057,9.193,9.414,Healthy,0
COMP_00704,Lot_A,8.996,9.77,21.046,41.636,Latent Defect,1
COMP_00705,Lot_A,8.533,8.831,9.344,9.682,Healthy,0
COMP_00706,Lot_C,8.763,9.091,9.71,9.939,Healthy,0
COMP_00707,Lot_A,7.371,7.61,7.985,8.349,Healthy,0
COMP_00708,Lot_C,11.087,11.158,11.797,12.107,Healthy,0
COMP_00709,Lot_A,8.909,10.233,20.836,38.991,Latent Defect,1
COMP_00710,Lot_B,13.325,14.583,23.137,36.742,Latent Defect,1
COMP_00711,Lot_C,8.903,10.082,18.402,34.44,Latent Defect,1
COMP_00712,Lot_B,14.979,15.298,15.718,16.135,Healthy,0
COMP_00713,Lot_B,12.538,12.797,13.3,13.608,Healthy,0
COMP_00714,Lot_B,12.246,12.594,13.118,13.242,Healthy,0
COMP_00715,Lot_A,7.965,8.153,8.528,8.965,Healthy,0
COMP_00716,Lot_C,10.017,10.156,10.56,10.964,Healthy,0
COMP_00717,Lot_C,9.802,10.001,10.49,11.002,Healthy,0
COMP_00718,Lot_C,10.415,10.769,11.15,11.499,Healthy,0
COMP_00719,Lot_A,8.477,8.737,9.24,9.498,Healthy,0
COMP_00720,Lot_C,10.583,10.702,10.992,11.556,Healthy,0
COMP_00721,Lot_C,9.541,9.849,10.503,10.622,Healthy,0
COMP_00722,Lot_A,9.401,9.703,10.35,10.582,Healthy,0
COMP_00723,Lot_A,9.661,9.852,10.428,10.775,Healthy,0
COMP_00724,Lot_C,10.694,10.948,11.177,11.215,Healthy,0
COMP_00725,Lot_B,13.231,13.46,13.958,14.282,Healthy,0
COMP_00726,Lot_C,11.816,12.085,12.481,12.865,Healthy,0
COMP_00727,Lot_A,8.157,8.414,8.718,9.068,Healthy,0
COMP_00728,Lot_C,9.57,9.73,10.417,10.659,Healthy,0
COMP_00729,Lot_A,8.506,8.691,9.177,9.4,Healthy,0
COMP_00730,Lot_A,9.172,9.585,9.934,10.406,Healthy,0
COMP_00731,Lot_A,8.194,8.565,9.278,9.604,Healthy,0
COMP_00732,Lot_C,8.632,8.958,9.435,9.835,Healthy,0
COMP_00733,Lot_B,12.626,12.805,13.395,13.777,Healthy,0
COMP_00734,Lot_B,11.412,12.749,22.979,40.165,Latent Defect,1
COMP_00735,Lot_B,14.782,14.982,15.412,15.839,Healthy,0
COMP_00736,Lot_C,10.069,10.208,10.68,10.989,Healthy,0
COMP_00737,Lot_B,13.943,14.205,14.666,14.911,Healthy,0
COMP_00738,Lot_C,9.793,10.121,10.477,10.824,Healthy,0
COMP_00739,Lot_B,11.97,12.125,12.565,12.932,Healthy,0
COMP_00740,Lot_B,15.193,15.407,15.851,16.076,Healthy,0
COMP_00741,Lot_B,13.673,13.955,14.584,15.045,Healthy,0
COMP_00742,Lot_A,8.781,8.994,9.468,9.807,Healthy,0
COMP_00743,Lot_C,10.858,11.174,11.589,11.792,Healthy,0
COMP_00744,Lot_B,14.467,14.763,15.175,15.579,Healthy,0
COMP_00745,Lot_A,8.56,8.915,9.134,9.444,Healthy,0
COMP_00746,Lot_C,11.439,11.734,12.397,12.625,Healthy,0
COMP_00747,Lot_B,14.179,14.51,14.759,15.079,Healthy,0
COMP_00748,Lot_B,12.883,13.003,13.42,13.858,Healthy,0
COMP_00749,Lot_C,9.648,9.918,10.397,10.746,Healthy,0
COMP_00750,Lot_B,12.224,12.527,12.787,13.137,Healthy,0
COMP_00751,Lot_A,9.608,9.823,10.185,10.608,Healthy,0
COMP_00752,Lot_C,10.147,10.457,10.911,11.023,Healthy,0
COMP_00753,Lot_B,14.298,14.714,15.318,15.314,Healthy,0
COMP_00754,Lot_A,8.861,9.074,9.393,9.756,Healthy,0
COMP_00755,Lot_A,8.381,8.672,9.128,9.366,Healthy,0
COMP_00756,Lot_C,9.481,9.672,9.916,10.129,Healthy,0
COMP_00757,Lot_B,12.768,13.132,13.517,13.792,Healthy,0
COMP_00758,Lot_B,11.701,11.953,12.545,13.095,Healthy,0
COMP_00759,Lot_C,10.257,10.518,10.903,11.215,Healthy,0
COMP_00760,Lot_C,10.566,10.791,11.222,11.569,Healthy,0
COMP_00761,Lot_A,8.027,8.271,8.479,8.884,Healthy,0
COMP_00762,Lot_A,10.381,10.587,11.082,11.517,Healthy,0
COMP_00763,Lot_A,9.524,9.753,9.987,10.363,Healthy,0
COMP_00764,Lot_C,10.116,10.338,10.772,11.136,Healthy,0
COMP_00765,Lot_A,8.789,9.065,9.489,9.877,Healthy,0
COMP_00766,Lot_B,12.686,12.988,13.363,13.72,Healthy,0
COMP_00767,Lot_C,8.539,8.759,9.277,9.524,Healthy,0
COMP_00768,Lot_C,9.712,10.431,17.879,33.113,Latent Defect,1
COMP_00769,Lot_A,8.581,8.858,9.301,9.613,Healthy,0
